Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,1,10,0
Query 2,3,30,-14.25
Query 3,2,20,-19.0
Query 4,3,30,-17.75
Query 5,2,20,-9.0
Query 6,1,10,0
Query 7,4,40,-9.2
Query 8,2,20,-25.0
Query 9,5,50,-0.75
Query 10,0,0,0
Query 11,4,40,-1.2000000000000002
Query 12,0,0,0
Query 13,1,10,0
Query 14,0,0,0
Query 15,3,30,-1.75
Query 16,3,30,-3.75
Query 17,3,30,-5.5
Query 18,2,20,-84.0
Query 19,1,10,0
Query 20,0,0,0
Query 21,4,40,-12.0
Query 22,0,0,0
Query 23,2,20,-16.0
Query 24,0,0,0
Query 25,2,20,-81.0
Query 26,0,0,0
Query 27,1,10,0
Query 28,4,40,-8.0
Query 29,2,20,-16.0
Query 30,2,20,1.0
Query 31,5,50,-3.8
Query 32,3,30,-4.25
Query 33,3,30,-21.0
Query 34,2,20,-17.0
Query 35,1,10,0
Query 36,2,20,-36.0
Query 37,0,0,0
Query 38,0,0,0
Query 39,1,10,0
Query 40,2,20,-8.0
Query 41,4,40,-10.7
Query 42,4,40,-6.3
Query 43,1,10,0
Query 44,3,30,0.0
Query 45,2,20,-31.0
Query 46,5,50,-4.1
Query 47,2,20,-96.0
Query 48,6,60,-1.0285714285714285
Query 49,6,60,-1.942857142857143
Query 50,0,0,0
Query 51,1,10,0
Query 52,3,30,-13.75
Query 53,3,30,-23.5
Query 54,3,30,0.75
Query 55,3,30,-17.75
Query 56,5,50,-5.25
Query 57,1,10,0
Query 58,3,30,-3.5
Query 59,3,30,-11.75
Query 60,1,10,0
Query 61,1,10,0
Query 62,0,0,0
Query 63,4,40,-9.1
Query 64,1,10,0
Query 65,1,10,0
Query 66,2,20,-12.0
Query 67,2,20,-19.0
Query 68,4,40,-2.9
Query 69,1,10,0
Query 70,2,20,-64.0
Query 71,3,30,-13.5
Query 72,0,0,0
Query 73,0,0,0
Query 74,3,30,-21.25
Query 75,5,50,-1.9500000000000002
Query 76,5,50,-4.9
Query 77,3,30,-18.25
Query 78,1,10,0
Query 79,1,10,0
Query 80,4,40,-2.8
Query 81,3,30,-6.25
Query 82,1,10,0
Query 83,3,30,-1.25
Query 84,1,10,0
Query 85,1,10,0
Query 86,1,10,0
Query 87,2,20,-4.0
Query 88,2,20,-44.0
Query 89,3,30,-12.25
Query 90,4,40,-5.3
Query 91,3,30,0.0
Query 92,4,40,-1.2000000000000002
Query 93,1,10,1
Query 94,4,40,-3.5999999999999996
Query 95,3,30,-20.25
Query 96,3,30,-17.5
Query 97,2,20,-36.0
Query 98,3,30,-14.5
Query 99,4,40,-0.19999999999999996
Query 100,1,10,0
Averages,2.27,22.7,-9.739714285714287
